Name,Email,Wallet address,Onboarded,Deposit (USDC),Deposit tx,Rate your product (1-5),Product feedback
GBEWUF…4DJGGH,,GBEWUF6CEVHGG4X7CECKBUGCPDC5BXNBBE4QZTEEKNAVJ3E2RJ4DJGGH,2026-08-31,2.000,8122db9c7fe366fdf90cedf553428166096af5ad3bc9c007b23c7e276eb0583c,,
GASDNX…DVA6VA,,GASDNXTNQWZX2NXPX2UOJFVYNXDJYYBH72U52XUSU2EMGZPWHMDVA6VA,2026-08-31,2.000,d43cd1bfc47abe081aa6f3d0566378c06e6e9c168212b3063419c44498e36924,,
GDBTUY…EP5C54,,GDBTUYUZ5RGLLF7DT7H4BXND5NXD65J3LMKCMYMHAGXQNDUZNTEP5C54,2026-08-31,2.000,2b74ae4686bda7c281ed00e857eaee61e7635b5420f9c46be433b881e6796089,,
GCEKIH…LN2NLW,,GCEKIHUBKS3SOD4NY5K4QTO4ZGRO77R5XWBVNNVE6ZBG7DIITSLN2NLW,2026-08-31,2.000,13271ca9de10ffae2499fa7e9dcfa032ef8eda9a0f1cfce771028f8fd0cdcfb5,,
GCC5F6…5DQHO3,,GCC5F6GPX2KA5E26ZBLUTL5ZVYVU7OVA54MPIWZE7UENGCJBPT5DQHO3,2026-08-31,2.000,ac3c0225d588df40c1c26770fdda20b8b2f254aec441fb4ee8120b9babdfa67d,,
GA2YSK…ZQ4VHM,,GA2YSKOIYOUSVDNNESCWCBEIKUANGK6E3AZ7YWNZ56WGSVJEVDZQ4VHM,2026-08-31,2.000,2fb7291e2805c31bdebab1ee9c211a1b2c67a98ebf3138631ff9d83ed5a18399,,
GA4ZJC…GJICJU,,GA4ZJC5HYRT6ENOJ2IGMMRC6VE53LKL32HMXOZNM6B3OIV7OSRGJICJU,2026-08-31,2.000,08c9f3fac945c4fc573d558260fcf1b015726028e1388983523e3d7010828be1,,
GANHDR…RWOX4X,,GANHDRNJNNHBF4EHPYGHYACATIVDYWX3HM2GB6IFWRMKCEA5PURWOX4X,2026-08-31,2.000,1784fe676092127c2594f19d49ab45e95b38c2e58700a089f00c252832282164,,
GCMQIJ…X3WASK,,GCMQIJY4FKF64JIIWEULZW6PAUKHVH7IJDRZXXPU3PBO3ZEP2AX3WASK,2026-08-31,2.000,2c82f2d9db9d83781a54f04e012488465fe5fadc33eb88df180a6128e4980339,,
GBV7FX…WQQJZJ,,GBV7FXW3VN5ONO32KWHXNDLRILD3JJ2PHU5UPIQSQT4NIKTGVNWQQJZJ,2026-08-31,2.000,889a41f97ae5a97958d55fea8f4115fab5e3c21639a9cbf82645ebc1dea5a168,,
GC56FR…GC2LDV,,GC56FR52QOXNCL7PZ2RSSJBGRP6QAF37D4TNCGGVYQIB7A23ZMGC2LDV,2026-08-31,2.000,182fb7876987c02131702e75f641a4d91e30d9381467420ee0a036c316f4aadd,,
GA4CYV…VVUM7K,,GA4CYVSKWU6O6EJD5WTFTMQXG3XHUSMRLEVEHWXW5K7A6DNV36VVUM7K,2026-08-31,2.000,85c087217ac7cabb82917535bf8ddb0d26dd1e1f09142ed5abefa2d705286162,,
GDUFDD…LZYFOS,,GDUFDD5S6UPYXAHGJIYAUWS42L6LOWB4QM22ZFMGXAIMU5JTMULZYFOS,2026-08-31,2.000,e7daf7338e0c8f5d4ab82ab8cd431bbcd58597acff291fdfff2182aa85aeb6c2,,
GAYZYD…G7UTV7,,GAYZYDUNZY3XDG6VHWZEV6MYGALXSDC4RNGHWCZFIEXAX6DDBSG7UTV7,2026-08-31,2.000,76bf26dad1d3dff18b8db787138dbb7cbbc09fc2d7a688d1e91966f5108d400e,,
GCYSO4…B3A2DM,,GCYSO42GFW6ERAXFNR5WF7TYQ23T65UVQQ75R7COHR4O6H3DMSB3A2DM,2026-08-31,2.000,508013c096645c33dc5db553d9e7c186c0cc83607f89ce7db09ecf7a318fc70a,,
GBL2JK…SNTPPF,,GBL2JKJ3PC6HHAQATHXWEKDLPRJT5243YSSARF5GOG23PFVWC5SNTPPF,2026-08-31,2.000,f5a5553452a3161ed5feef158119f44982bde9cfc7213d2aa4951f647d05694a,,
GCWB7O…EJSLZS,,GCWB7OH4MJYEJ45TSARVJDUDTMVDRTG4TIRKTG3LD7QMU2XLSREJSLZS,2026-08-31,2.000,2613921a46fa3efc44bbc8179d1f7c3d5170b906db4808c33cbfab1f4a3a3ced,,
GDPSLD…D4NPLM,,GDPSLDNF7LMUUCAS4Y2J4JMJAE6YSTBCVQX5VEN7W2EHYYYTDYD4NPLM,2026-08-31,2.000,74110eeda4c73a9fc62cd5146bc26bbcb0119255ff98b1e93e0b5fab61d85b13,,
GDBRNZ…CHODXP,,GDBRNZQ7YDTMGWZA4C22DZ4AM5KYCQXJIHWTYIGTYPAJ6XXKQACHODXP,2026-08-31,2.000,33cd31d5612c98c9f43e3d14072b18ed0f9eec50dea2341e30ae6011d79f22b8,,
GD4UW4…KQ3PJY,,GD4UW4WIUEYGDCY6DN4ZEZ5WYYTPP3L4WAR7TD2WUO5AHCYJR7KQ3PJY,2026-08-31,2.000,402d2f5f32a644187056dcb5c8bba8cdb49ff79d44b03e26f7b25bcc906844f6,,
GDAI7B…5LR2KX,,GDAI7BUAC5THDPMRZZWL4UMV4X2X5PY4PEVWT7RKSIWWBGXKTZ5LR2KX,2026-08-31,2.000,855d4e91222ba1400204cac4a3aed17836050f9e85046b54af8671e23065ae98,,
GCTOSJ…WFZ7UL,,GCTOSJ6K7ALTGPFVEXDPKJMF7CVMZJG5LE2CQGSJ42OK4U7IVXWFZ7UL,2026-08-31,2.000,09cac0cdfd67e904f651b923998bee584010e0211e63082edf0ef7f3d79d762e,,
GAHE5M…XOLPY3,,GAHE5MK5WY7SZHUNDLPZINIG4D2XG3C4NTMDPK3I73OYHHWZNAXOLPY3,2026-08-31,2.000,5b9d0f9edeacf34d44d798d3488a5702f82eb4ba1d7b8c0226a88f4b12f55e2f,,
